Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.8585,0.17717717717717718,0.8676470588235294,0.2942643391521197,0.933952928997686,0.4658798217383025
Decision Tree,0.959,0.44696969696969696,0.8676470588235294,0.59,0.8991786932164169,0.808149105526798
Random Forest,0.9785,0.6404494382022472,0.8382352941176471,0.7261146496815286,0.975939288758982,0.8377866442005297
